id,recording_id,sensor_type_id,timestamp,offset_ms,data,created_at
dba7266b-8aef-47fa-8f7c-d3a30a0db679,16ef52e7-8ae6-474c-8911-a6aec7bafe58,d4ad2653-b430-40c2-9f47-bdc140119c57,2025-12-11 15:29:42.472+00,340,"{""x"":0.10821041362364843,""y"":-0.07853981633974483,""z"":-0.04188790204786391}",2025-12-11 15:29:43.064556+00
d0e99bbd-f070-4ec2-a992-23e601c66c1f,16ef52e7-8ae6-474c-8911-a6aec7bafe58,3b48eed5-6ece-4eb8-8c88-b5e645839385,2025-12-11 15:29:42.566+00,434,"{""x"":0.1,""y"":9.9,""z"":2.1}",2025-12-11 15:29:43.178047+00
4a43493b-6210-4ffd-b2cb-3cf1723c2268,16ef52e7-8ae6-474c-8911-a6aec7bafe58,d4ad2653-b430-40c2-9f47-bdc140119c57,2025-12-11 15:29:42.614+00,482,"{""x"":-0.1780235837034216,""y"":-0.17976891295541594,""z"":0.2635447170511438}",2025-12-11 15:29:43.232446+00
7644511b-3f67-4c99-830c-eec02a56f6e0,16ef52e7-8ae6-474c-8911-a6aec7bafe58,3b48eed5-6ece-4eb8-8c88-b5e645839385,2025-12-11 15:29:42.724+00,592,"{""x"":-0.1,""y"":9.8,""z"":0.6000000000000001}",2025-12-11 15:29:43.271007+00
2a2c0eca-cb0b-4cc0-be46-3bb1b14f0492,16ef52e7-8ae6-474c-8911-a6aec7bafe58,baf037ae-fcf3-4ef7-a040-1a876ff3dcb7,2025-12-11 15:29:45.608+00,3476,"{""speed"":null,""heading"":null,""accuracy"":19.104000091552734,""altitude"":359.1000061035156,""latitude"":46.067252,""longitude"":14.4881021}",2025-12-11 15:29:46.113775+00
c50554e3-58b6-471e-b5b2-ee14db60bc8d,16ef52e7-8ae6-474c-8911-a6aec7bafe58,d4ad2653-b430-40c2-9f47-bdc140119c57,2025-12-11 15:29:47.638+00,5506,"{""x"":0.061086523819801536,""y"":0.08028514559173916,""z"":-0.03839724354387525}",2025-12-11 15:29:48.147195+00
102fb28f-26d8-440e-aefb-76526224b119,16ef52e7-8ae6-474c-8911-a6aec7bafe58,3b48eed5-6ece-4eb8-8c88-b5e645839385,2025-12-11 15:29:47.641+00,5509,"{""x"":0.7000000000000001,""y"":9.700000000000001,""z"":1.9000000000000001}",2025-12-11 15:29:48.150087+00
a495ca99-e714-44d8-a647-5c6a4a87676e,16ef52e7-8ae6-474c-8911-a6aec7bafe58,3b48eed5-6ece-4eb8-8c88-b5e645839385,2025-12-11 15:29:47.727+00,5595,"{""x"":0.5,""y"":9.700000000000001,""z"":1.5}",2025-12-11 15:29:48.231135+00
830030f5-6ee0-4d16-be38-a14c0e570c95,16ef52e7-8ae6-474c-8911-a6aec7bafe58,d4ad2653-b430-40c2-9f47-bdc140119c57,2025-12-11 15:29:47.74+00,5608,"{""x"":-0.05235987755982989,""y"":-0.09599310885968813,""z"":0.061086523819801536}",2025-12-11 15:29:48.256991+00
edf0f281-c87b-4ad4-bbd1-efb9b4774436,16ef52e7-8ae6-474c-8911-a6aec7bafe58,d4ad2653-b430-40c2-9f47-bdc140119c57,2025-12-11 15:29:47.841+00,5708,"{""x"":0.0017453292519943296,""y"":0.0471238898038469,""z"":-0.024434609527920613}",2025-12-11 15:29:48.356735+00
e5762f02-ef48-42ba-8413-5361fc5cefb0,16ef52e7-8ae6-474c-8911-a6aec7bafe58,3b48eed5-6ece-4eb8-8c88-b5e645839385,2025-12-11 15:29:47.854+00,5722,"{""x"":0.2,""y"":9.700000000000001,""z"":1.7000000000000002}",2025-12-11 15:29:48.366195+00
fd90acff-76cc-4cb8-a4b5-4cffce03f1c5,16ef52e7-8ae6-474c-8911-a6aec7bafe58,ac98dfca-0ee5-4d28-8657-4d29dbfc8f09,2025-12-11 15:29:47.922+00,5790,"{""x"":0.2,""y"":9.700000000000001,""z"":1.6}",2025-12-11 15:29:48.436171+00
75ef9927-2209-437f-bc01-233921292672,16ef52e7-8ae6-474c-8911-a6aec7bafe58,c850391c-5cf3-4b3f-9fac-26438f5a9353,2025-12-11 15:29:47.906+00,5774,"{""quaternion"":[0.4636278181243268,0.44928661224893507,0.5455807483926868,0.5343523493898263]}",2025-12-11 15:29:48.49044+00
25dbbaf9-3ea2-46eb-8fa5-160be4e1d766,16ef52e7-8ae6-474c-8911-a6aec7bafe58,98a08aec-2fa6-4f63-9386-0f43015d701c,2025-12-11 15:29:47.924+00,5792,"{""x"":0,""y"":0,""z"":0.1}",2025-12-11 15:29:48.520048+00
2a019fec-f2c7-49c1-9c38-0bcebd70ac86,16ef52e7-8ae6-474c-8911-a6aec7bafe58,d4ad2653-b430-40c2-9f47-bdc140119c57,2025-12-11 15:29:48.034+00,5902,"{""x"":0.06283185307179587,""y"":0.0645771823237902,""z"":-0.026179938779914945}",2025-12-11 15:29:48.563475+00
7e88a1da-ff4b-4c5d-91c4-6f1eb6cf1cb2,16ef52e7-8ae6-474c-8911-a6aec7bafe58,3b48eed5-6ece-4eb8-8c88-b5e645839385,2025-12-11 15:29:48.036+00,5904,"{""x"":0.4,""y"":9.8,""z"":1.5}",2025-12-11 15:29:48.563844+00
e1c92cd5-a0f1-4d33-8a78-df515618382d,16ef52e7-8ae6-474c-8911-a6aec7bafe58,ac98dfca-0ee5-4d28-8657-4d29dbfc8f09,2025-12-11 15:29:48.041+00,5909,"{""x"":0.30000000000000004,""y"":9.700000000000001,""z"":1.6}",2025-12-11 15:29:48.565858+00
e660157c-ccd6-45d8-bca3-0b4e63576dbd,16ef52e7-8ae6-474c-8911-a6aec7bafe58,c850391c-5cf3-4b3f-9fac-26438f5a9353,2025-12-11 15:29:48.088+00,5956,"{""quaternion"":[0.4672452756348456,0.4496401755912832,0.5421928914996305,0.5343523493898263]}",2025-12-11 15:29:48.616247+00
309acf27-d552-413e-8c7a-1fedd539849c,16ef52e7-8ae6-474c-8911-a6aec7bafe58,98a08aec-2fa6-4f63-9386-0f43015d701c,2025-12-11 15:29:48.042+00,5910,"{""x"":0,""y"":0,""z"":-0.1}",2025-12-11 15:29:48.63549+00
b4e49803-349a-4a44-8d27-47f1704350a6,16ef52e7-8ae6-474c-8911-a6aec7bafe58,3b48eed5-6ece-4eb8-8c88-b5e645839385,2025-12-11 15:29:48.219+00,6087,"{""x"":0.6000000000000001,""y"":9.600000000000001,""z"":1.4000000000000001}",2025-12-11 15:29:48.726129+00
790e2aba-c5e7-4dd1-aea4-cab8c50bc274,16ef52e7-8ae6-474c-8911-a6aec7bafe58,98a08aec-2fa6-4f63-9386-0f43015d701c,2025-12-11 15:29:48.222+00,6090,"{""x"":0,""y"":0,""z"":0}",2025-12-11 15:29:48.72914+00
80e8b345-39ab-4cb8-9fd4-b3f595c5d411,16ef52e7-8ae6-474c-8911-a6aec7bafe58,d4ad2653-b430-40c2-9f47-bdc140119c57,2025-12-11 15:29:48.2+00,6068,"{""x"":0.026179938779914945,""y"":-0.029670597283903602,""z"":0.03316125578789226}",2025-12-11 15:29:48.727339+00
2c372565-ed3b-4aed-891b-775bf89c996a,16ef52e7-8ae6-474c-8911-a6aec7bafe58,c850391c-5cf3-4b3f-9fac-26438f5a9353,2025-12-11 15:29:48.225+00,6092,"{""quaternion"":[0.46603515039092525,0.45004491339804303,0.5436233649585006,0.5336145159156115]}",2025-12-11 15:29:48.735109+00
95db8382-7e46-490d-8354-cede69022ee7,16ef52e7-8ae6-474c-8911-a6aec7bafe58,d4ad2653-b430-40c2-9f47-bdc140119c57,2025-12-11 15:29:48.278+00,6146,"{""x"":-0.04363323129985824,""y"":0.08028514559173916,""z"":-0.03490658503988659}",2025-12-11 15:29:48.790318+00
0d1b2a28-cbf3-4726-bea2-57ae8aea8c0a,16ef52e7-8ae6-474c-8911-a6aec7bafe58,ac98dfca-0ee5-4d28-8657-4d29dbfc8f09,2025-12-11 15:29:48.225+00,6093,"{""x"":0.30000000000000004,""y"":9.700000000000001,""z"":1.6}",2025-12-11 15:29:48.819194+00
4e19ca71-3de2-4059-bca5-810bb85af90c,16ef52e7-8ae6-474c-8911-a6aec7bafe58,c850391c-5cf3-4b3f-9fac-26438f5a9353,2025-12-11 15:29:48.33+00,6198,"{""quaternion"":[0.46587870938273906,0.44832509950256433,0.5444531201136257,0.5343523493898263]}",2025-12-11 15:29:48.840343+00
53a90287-7d93-4b2d-8d72-4a1250a74905,16ef52e7-8ae6-474c-8911-a6aec7bafe58,3b48eed5-6ece-4eb8-8c88-b5e645839385,2025-12-11 15:29:48.328+00,6196,"{""x"":0.5,""y"":9.700000000000001,""z"":1.6}",2025-12-11 15:29:48.835735+00
f90da7ef-b2b9-4fe7-8680-a1cefc123779,16ef52e7-8ae6-474c-8911-a6aec7bafe58,ac98dfca-0ee5-4d28-8657-4d29dbfc8f09,2025-12-11 15:29:48.334+00,6202,"{""x"":0.30000000000000004,""y"":9.700000000000001,""z"":1.6}",2025-12-11 15:29:48.850299+00
60a3dcab-b033-432c-b4ae-5b0adf80c1d7,16ef52e7-8ae6-474c-8911-a6aec7bafe58,98a08aec-2fa6-4f63-9386-0f43015d701c,2025-12-11 15:29:48.333+00,6201,"{""x"":0,""y"":0,""z"":0.1}",2025-12-11 15:29:48.854445+00
c0ba8aaa-d090-4bb7-8ecb-6ce3b3e5f158,16ef52e7-8ae6-474c-8911-a6aec7bafe58,d4ad2653-b430-40c2-9f47-bdc140119c57,2025-12-11 15:29:48.368+00,6236,"{""x"":-0.026179938779914945,""y"":0.03316125578789226,""z"":0.03490658503988659}",2025-12-11 15:29:48.896412+00
e3b5b61f-ed34-4194-b02c-4dfe744fe020,16ef52e7-8ae6-474c-8911-a6aec7bafe58,98a08aec-2fa6-4f63-9386-0f43015d701c,2025-12-11 15:29:48.497+00,6365,"{""x"":0,""y"":0,""z"":-0.1}",2025-12-11 15:29:49.386327+00
cb9fc6a4-f23e-4b4e-9fcf-39ab8068bbc8,16ef52e7-8ae6-474c-8911-a6aec7bafe58,ac98dfca-0ee5-4d28-8657-4d29dbfc8f09,2025-12-11 15:29:48.497+00,6365,"{""x"":0.30000000000000004,""y"":9.700000000000001,""z"":1.6}",2025-12-11 15:29:49.386528+00
199628d3-1fb3-4f7d-81e6-29dc24577e36,16ef52e7-8ae6-474c-8911-a6aec7bafe58,3b48eed5-6ece-4eb8-8c88-b5e645839385,2025-12-11 15:29:48.412+00,6280,"{""x"":0.30000000000000004,""y"":9.700000000000001,""z"":1.9000000000000001}",2025-12-11 15:29:49.39493+00
5bf41d0c-9472-474d-8863-fb79ea60fd68,16ef52e7-8ae6-474c-8911-a6aec7bafe58,c850391c-5cf3-4b3f-9fac-26438f5a9353,2025-12-11 15:29:48.496+00,6364,"{""quaternion"":[0.4686429003444197,0.4478448830709438,0.5439224825882215,0.53287627607073]}",2025-12-11 15:29:49.408413+00
6a70b314-1d94-4055-a89b-547430581deb,16ef52e7-8ae6-474c-8911-a6aec7bafe58,d4ad2653-b430-40c2-9f47-bdc140119c57,2025-12-11 15:29:48.522+00,6390,"{""x"":0.0017453292519943296,""y"":0.08726646259971647,""z"":-0.020943951023931956}",2025-12-11 15:29:49.414189+00
1758dd33-e509-4a99-bffc-02a5793c58dd,16ef52e7-8ae6-474c-8911-a6aec7bafe58,98a08aec-2fa6-4f63-9386-0f43015d701c,2025-12-11 15:29:49.022+00,6890,"{""x"":-0.1,""y"":0,""z"":0}",2025-12-11 15:29:49.529576+00
0dd1a47b-4703-4383-b521-bb231b6219df,16ef52e7-8ae6-474c-8911-a6aec7bafe58,c850391c-5cf3-4b3f-9fac-26438f5a9353,2025-12-11 15:29:49.021+00,6889,"{""quaternion"":[0.467267388134155,0.4465304150516568,0.5461818843765062,0.53287627607073]}",2025-12-11 15:29:49.52954+00
0098e188-739d-475c-af6f-074487271795,16ef52e7-8ae6-474c-8911-a6aec7bafe58,3b48eed5-6ece-4eb8-8c88-b5e645839385,2025-12-11 15:29:49.019+00,6887,"{""x"":0.2,""y"":9.600000000000001,""z"":1.6}",2025-12-11 15:29:49.537333+00
59038d9c-59af-4b60-9644-146887a22b66,16ef52e7-8ae6-474c-8911-a6aec7bafe58,d4ad2653-b430-40c2-9f47-bdc140119c57,2025-12-11 15:29:49.022+00,6890,"{""x"":0.04537856055185257,""y"":0.11344640137963143,""z"":-0.022689280275926284}",2025-12-11 15:29:49.539232+00
76a8bebe-ff35-40d2-bb89-2a0bf9a5b7d2,16ef52e7-8ae6-474c-8911-a6aec7bafe58,ac98dfca-0ee5-4d28-8657-4d29dbfc8f09,2025-12-11 15:29:49.026+00,6894,"{""x"":0.30000000000000004,""y"":9.700000000000001,""z"":1.6}",2025-12-11 15:29:49.538949+00
b094584e-1167-4a91-a71c-b331c17b4e22,16ef52e7-8ae6-474c-8911-a6aec7bafe58,c850391c-5cf3-4b3f-9fac-26438f5a9353,2025-12-11 15:29:49.106+00,6974,"{""quaternion"":[0.46735497682389054,0.445056129687409,0.5473090913429048,0.53287627607073]}",2025-12-11 15:29:49.609268+00
2c602c21-6310-4ac3-aa15-033f0ac2bda7,16ef52e7-8ae6-474c-8911-a6aec7bafe58,d4ad2653-b430-40c2-9f47-bdc140119c57,2025-12-11 15:29:49.114+00,6981,"{""x"":-0.09599310885968813,""y"":0.019198621771937624,""z"":0.012217304763960306}",2025-12-11 15:29:49.615693+00
a0e6fe29-5b34-4a04-b818-9e0b5e05f484,16ef52e7-8ae6-474c-8911-a6aec7bafe58,98a08aec-2fa6-4f63-9386-0f43015d701c,2025-12-11 15:29:49.114+00,6982,"{""x"":0.1,""y"":0,""z"":0.1}",2025-12-11 15:29:49.616973+00
6281cdaf-6206-41c8-bae6-815145d339f1,16ef52e7-8ae6-474c-8911-a6aec7bafe58,3b48eed5-6ece-4eb8-8c88-b5e645839385,2025-12-11 15:29:49.121+00,6989,"{""x"":0.5,""y"":9.600000000000001,""z"":1.3}",2025-12-11 15:29:49.620655+00
c148a75a-d091-4090-8388-3890670a5615,16ef52e7-8ae6-474c-8911-a6aec7bafe58,ac98dfca-0ee5-4d28-8657-4d29dbfc8f09,2025-12-11 15:29:49.13+00,6998,"{""x"":0.4,""y"":9.700000000000001,""z"":1.6}",2025-12-11 15:29:49.641291+00
91646c74-f75e-44dc-b160-2d3a4993d960,16ef52e7-8ae6-474c-8911-a6aec7bafe58,d4ad2653-b430-40c2-9f47-bdc140119c57,2025-12-11 15:29:49.205+00,7073,"{""x"":-0.010471975511965978,""y"":0.015707963267948967,""z"":-0.03665191429188092}",2025-12-11 15:29:49.748768+00
a7d0b2ac-cb5c-4ee4-9411-7a895c628419,16ef52e7-8ae6-474c-8911-a6aec7bafe58,c850391c-5cf3-4b3f-9fac-26438f5a9353,2025-12-11 15:29:49.189+00,7057,"{""quaternion"":[0.4676116320078568,0.4453005391160119,0.5476096545603539,0.5321376304173835]}",2025-12-11 15:29:49.69224+00
e303700d-e61f-4039-be33-7be3a617c260,16ef52e7-8ae6-474c-8911-a6aec7bafe58,98a08aec-2fa6-4f63-9386-0f43015d701c,2025-12-11 15:29:49.373+00,7240,"{""x"":0,""y"":0,""z"":-0.2}",2025-12-11 15:29:49.878464+00
c8e527f1-0df6-4448-9761-ad5afec13e5a,16ef52e7-8ae6-474c-8911-a6aec7bafe58,98a08aec-2fa6-4f63-9386-0f43015d701c,2025-12-11 15:29:49.848+00,7716,"{""x"":0,""y"":0,""z"":0.1}",2025-12-11 15:29:50.366174+00
73935bfe-3997-4986-948d-b1cf53c721a3,16ef52e7-8ae6-474c-8911-a6aec7bafe58,d4ad2653-b430-40c2-9f47-bdc140119c57,2025-12-11 15:29:49.952+00,7820,"{""x"":-0.031415926535897934,""y"":0.048869219055841226,""z"":-0.005235987755982989}",2025-12-11 15:29:50.463854+00
71d0b2d9-e2ec-4bf8-bbbd-5176f3c5b00c,16ef52e7-8ae6-474c-8911-a6aec7bafe58,d4ad2653-b430-40c2-9f47-bdc140119c57,2025-12-11 15:29:50.048+00,7916,"{""x"":0.04014257279586958,""y"":0.05759586531581288,""z"":-0.04188790204786391}",2025-12-11 15:29:50.551693+00
d6678be7-f7f7-47be-b6db-c21ea5a45cc2,16ef52e7-8ae6-474c-8911-a6aec7bafe58,98a08aec-2fa6-4f63-9386-0f43015d701c,2025-12-11 15:29:50.555+00,8423,"{""x"":0,""y"":0,""z"":-0.1}",2025-12-11 15:29:51.072433+00
dd841e31-1a77-4d92-8b0a-87caf347eb65,16ef52e7-8ae6-474c-8911-a6aec7bafe58,d4ad2653-b430-40c2-9f47-bdc140119c57,2025-12-11 15:29:50.647+00,8515,"{""x"":0.06632251157578452,""y"":0.09075712110370514,""z"":-0.0767944870877505}",2025-12-11 15:29:51.163554+00
f0196a2f-7f84-44fd-8e89-b93cb990b2f3,16ef52e7-8ae6-474c-8911-a6aec7bafe58,ac98dfca-0ee5-4d28-8657-4d29dbfc8f09,2025-12-11 15:29:50.743+00,8611,"{""x"":0.30000000000000004,""y"":9.700000000000001,""z"":1.6}",2025-12-11 15:29:51.259957+00
3a077d9c-939a-48b9-8160-fb4f20b44e4a,16ef52e7-8ae6-474c-8911-a6aec7bafe58,d4ad2653-b430-40c2-9f47-bdc140119c57,2025-12-11 15:29:50.849+00,8717,"{""x"":-0.026179938779914945,""y"":-0.08726646259971647,""z"":0.020943951023931956}",2025-12-11 15:29:51.352052+00
3ee76e82-873d-4909-9f49-93af8f2bfc32,16ef52e7-8ae6-474c-8911-a6aec7bafe58,c850391c-5cf3-4b3f-9fac-26438f5a9353,2025-12-11 15:29:51.019+00,8887,"{""quaternion"":[0.4671746537617466,0.44800438569246986,0.5450530136453664,0.53287627607073]}",2025-12-11 15:29:51.521243+00
5de9228b-6a4e-41b2-8d64-5e0bb53464ff,16ef52e7-8ae6-474c-8911-a6aec7bafe58,98a08aec-2fa6-4f63-9386-0f43015d701c,2025-12-11 15:29:51.175+00,9043,"{""x"":0,""y"":0,""z"":-0.1}",2025-12-11 15:29:51.686593+00
3044fa22-79c2-425e-904b-5b2f9d5c7baf,16ef52e7-8ae6-474c-8911-a6aec7bafe58,98a08aec-2fa6-4f63-9386-0f43015d701c,2025-12-11 15:29:51.449+00,9317,"{""x"":-0.1,""y"":0,""z"":0}",2025-12-11 15:29:51.956245+00
3398ab45-4ffd-4d26-bcbb-08e61043efba,16ef52e7-8ae6-474c-8911-a6aec7bafe58,98a08aec-2fa6-4f63-9386-0f43015d701c,2025-12-11 15:29:51.634+00,9502,"{""x"":-0.2,""y"":0,""z"":0}",2025-12-11 15:29:52.133249+00
c26bbec2-f0cf-4606-a33f-d45f83471626,16ef52e7-8ae6-474c-8911-a6aec7bafe58,98a08aec-2fa6-4f63-9386-0f43015d701c,2025-12-11 15:29:51.848+00,9716,"{""x"":0.1,""y"":0,""z"":0.30000000000000004}",2025-12-11 15:29:52.368054+00
6849d38f-e85e-4fc4-9b5e-9f72e3e4a1b2,16ef52e7-8ae6-474c-8911-a6aec7bafe58,3b48eed5-6ece-4eb8-8c88-b5e645839385,2025-12-11 15:29:52.204+00,10072,"{""x"":0.2,""y"":9.8,""z"":1.6}",2025-12-11 15:29:52.718393+00
8d2dcf90-faf8-4ad9-8e00-200d0bd50e0f,16ef52e7-8ae6-474c-8911-a6aec7bafe58,98a08aec-2fa6-4f63-9386-0f43015d701c,2025-12-11 15:29:53.076+00,10944,"{""x"":0.1,""y"":0,""z"":-0.2}",2025-12-11 15:29:53.600973+00
4657d967-8cc3-4326-b694-1b7b0cf186a4,16ef52e7-8ae6-474c-8911-a6aec7bafe58,3b48eed5-6ece-4eb8-8c88-b5e645839385,2025-12-11 15:29:53.171+00,11039,"{""x"":0,""y"":9.700000000000001,""z"":1.8}",2025-12-11 15:29:53.684065+00
1ecb2e0e-46af-4cd5-bca8-deca155ae75f,16ef52e7-8ae6-474c-8911-a6aec7bafe58,3b48eed5-6ece-4eb8-8c88-b5e645839385,2025-12-11 15:29:53.368+00,11235,"{""x"":0.4,""y"":9.700000000000001,""z"":1.1}",2025-12-11 15:29:53.876519+00
e4ba1551-bda2-4b67-93c7-35da56fd903b,16ef52e7-8ae6-474c-8911-a6aec7bafe58,98a08aec-2fa6-4f63-9386-0f43015d701c,2025-12-11 15:29:53.662+00,11530,"{""x"":0,""y"":0,""z"":0.1}",2025-12-11 15:29:54.170558+00
937a5de3-b90d-44a5-9d11-5a658ae0c6b3,16ef52e7-8ae6-474c-8911-a6aec7bafe58,ac98dfca-0ee5-4d28-8657-4d29dbfc8f09,2025-12-11 15:29:53.766+00,11634,"{""x"":0.30000000000000004,""y"":9.700000000000001,""z"":1.5}",2025-12-11 15:29:54.27763+00
a773f5cb-a858-4a49-b048-6f1328021561,16ef52e7-8ae6-474c-8911-a6aec7bafe58,98a08aec-2fa6-4f63-9386-0f43015d701c,2025-12-11 15:29:53.853+00,11721,"{""x"":-0.2,""y"":0,""z"":-0.1}",2025-12-11 15:29:54.364791+00
6041a71d-9faa-4f66-bd79-1afb5d24f9db,16ef52e7-8ae6-474c-8911-a6aec7bafe58,d4ad2653-b430-40c2-9f47-bdc140119c57,2025-12-11 15:29:54.037+00,11905,"{""x"":-0.031415926535897934,""y"":0.06283185307179587,""z"":0.04014257279586958}",2025-12-11 15:29:54.5558+00
614aef43-4227-403c-a0df-d1ebaad4d6b6,16ef52e7-8ae6-474c-8911-a6aec7bafe58,98a08aec-2fa6-4f63-9386-0f43015d701c,2025-12-11 15:29:54.131+00,11999,"{""x"":0,""y"":0,""z"":0}",2025-12-11 15:29:54.64102+00
443bff02-201a-489d-99a9-e89a5248d2f7,16ef52e7-8ae6-474c-8911-a6aec7bafe58,3b48eed5-6ece-4eb8-8c88-b5e645839385,2025-12-11 15:29:54.369+00,12237,"{""x"":0.6000000000000001,""y"":9.700000000000001,""z"":1.6}",2025-12-11 15:29:54.872821+00
097e938d-3dbd-473f-ac5e-b6cebacf618e,16ef52e7-8ae6-474c-8911-a6aec7bafe58,ac98dfca-0ee5-4d28-8657-4d29dbfc8f09,2025-12-11 15:29:54.588+00,12456,"{""x"":0.30000000000000004,""y"":9.700000000000001,""z"":1.6}",2025-12-11 15:29:55.091222+00
f9dff160-a345-441c-a72f-06491f742065,16ef52e7-8ae6-474c-8911-a6aec7bafe58,d4ad2653-b430-40c2-9f47-bdc140119c57,2025-12-11 15:30:54.521+00,72389,"{""x"":0.42586033748661645,""y"":1.2042771838760875,""z"":0.42935099599060506}",2025-12-11 15:30:55.06499+00
614fc6aa-2d0c-4195-bc6b-d9817fd998e8,16ef52e7-8ae6-474c-8911-a6aec7bafe58,98a08aec-2fa6-4f63-9386-0f43015d701c,2025-12-11 15:30:54.554+00,72422,"{""x"":0.1,""y"":-0.4,""z"":-1}",2025-12-11 15:30:55.065011+00
36cae668-cd32-4065-a7d0-8e7b7c3f2764,16ef52e7-8ae6-474c-8911-a6aec7bafe58,3b48eed5-6ece-4eb8-8c88-b5e645839385,2025-12-11 15:30:54.631+00,72499,"{""x"":-1,""y"":4.1000000000000005,""z"":9.9}",2025-12-11 15:30:55.147907+00
