recording_id,event_code_id,timestamp,offset_ms,created_at,event_codes
16ef52e7-8ae6-474c-8911-a6aec7bafe58,d4cdc81e-399f-4cd4-8bcc-930995e02ecc,2025-12-11T15:29:47.489+00:00,5357,2025-12-11T15:29:48.064444+00:00,"{'e_id': 'eID2_11', 'e_description_butt': 'Hands down'}"
16ef52e7-8ae6-474c-8911-a6aec7bafe58,4578399d-855f-455e-94d8-a8a6d39a59cc,2025-12-11T15:29:49.408+00:00,7276,2025-12-11T15:29:49.93717+00:00,"{'e_id': 'eID2_10', 'e_description_butt': 'Hands up'}"
16ef52e7-8ae6-474c-8911-a6aec7bafe58,4578399d-855f-455e-94d8-a8a6d39a59cc,2025-12-11T15:29:51.893+00:00,9761,2025-12-11T15:29:52.414794+00:00,"{'e_id': 'eID2_10', 'e_description_butt': 'Hands up'}"
16ef52e7-8ae6-474c-8911-a6aec7bafe58,d4cdc81e-399f-4cd4-8bcc-930995e02ecc,2025-12-11T15:29:53.295+00:00,11163,2025-12-11T15:29:53.814593+00:00,"{'e_id': 'eID2_11', 'e_description_butt': 'Hands down'}"
16ef52e7-8ae6-474c-8911-a6aec7bafe58,d4cdc81e-399f-4cd4-8bcc-930995e02ecc,2025-12-11T15:29:54.269+00:00,12137,2025-12-11T15:29:54.779941+00:00,"{'e_id': 'eID2_11', 'e_description_butt': 'Hands down'}"
16ef52e7-8ae6-474c-8911-a6aec7bafe58,65195929-1a63-4135-ad5e-6f87a9751864,2025-12-11T15:29:55.933+00:00,13801,2025-12-11T15:29:56.450301+00:00,"{'e_id': 'eID2_12', 'e_description_butt': 'Error response'}"
16ef52e7-8ae6-474c-8911-a6aec7bafe58,4578399d-855f-455e-94d8-a8a6d39a59cc,2025-12-11T15:30:06.431+00:00,24299,2025-12-11T15:30:06.955019+00:00,"{'e_id': 'eID2_10', 'e_description_butt': 'Hands up'}"
16ef52e7-8ae6-474c-8911-a6aec7bafe58,d4cdc81e-399f-4cd4-8bcc-930995e02ecc,2025-12-11T15:30:06.827+00:00,24695,2025-12-11T15:30:07.357846+00:00,"{'e_id': 'eID2_11', 'e_description_butt': 'Hands down'}"
16ef52e7-8ae6-474c-8911-a6aec7bafe58,65195929-1a63-4135-ad5e-6f87a9751864,2025-12-11T15:30:08.353+00:00,26221,2025-12-11T15:30:08.866911+00:00,"{'e_id': 'eID2_12', 'e_description_butt': 'Error response'}"
16ef52e7-8ae6-474c-8911-a6aec7bafe58,d4cdc81e-399f-4cd4-8bcc-930995e02ecc,2025-12-11T15:30:10.356+00:00,28224,2025-12-11T15:30:10.898389+00:00,"{'e_id': 'eID2_11', 'e_description_butt': 'Hands down'}"
16ef52e7-8ae6-474c-8911-a6aec7bafe58,65195929-1a63-4135-ad5e-6f87a9751864,2025-12-11T15:30:10.848+00:00,28715,2025-12-11T15:30:11.364982+00:00,"{'e_id': 'eID2_12', 'e_description_butt': 'Error response'}"
16ef52e7-8ae6-474c-8911-a6aec7bafe58,d4cdc81e-399f-4cd4-8bcc-930995e02ecc,2025-12-11T15:30:15.096+00:00,32964,2025-12-11T15:30:15.624175+00:00,"{'e_id': 'eID2_11', 'e_description_butt': 'Hands down'}"
16ef52e7-8ae6-474c-8911-a6aec7bafe58,4578399d-855f-455e-94d8-a8a6d39a59cc,2025-12-11T15:30:16.258+00:00,34126,2025-12-11T15:30:16.768426+00:00,"{'e_id': 'eID2_10', 'e_description_butt': 'Hands up'}"
16ef52e7-8ae6-474c-8911-a6aec7bafe58,d4cdc81e-399f-4cd4-8bcc-930995e02ecc,2025-12-11T15:30:17.982+00:00,35850,2025-12-11T15:30:18.490753+00:00,"{'e_id': 'eID2_11', 'e_description_butt': 'Hands down'}"
16ef52e7-8ae6-474c-8911-a6aec7bafe58,4578399d-855f-455e-94d8-a8a6d39a59cc,2025-12-11T15:30:20.984+00:00,38852,2025-12-11T15:30:21.49451+00:00,"{'e_id': 'eID2_10', 'e_description_butt': 'Hands up'}"
16ef52e7-8ae6-474c-8911-a6aec7bafe58,d4cdc81e-399f-4cd4-8bcc-930995e02ecc,2025-12-11T15:30:22.595+00:00,40463,2025-12-11T15:30:23.216717+00:00,"{'e_id': 'eID2_11', 'e_description_butt': 'Hands down'}"
16ef52e7-8ae6-474c-8911-a6aec7bafe58,65195929-1a63-4135-ad5e-6f87a9751864,2025-12-11T15:30:24.655+00:00,42523,2025-12-11T15:30:25.177082+00:00,"{'e_id': 'eID2_12', 'e_description_butt': 'Error response'}"
16ef52e7-8ae6-474c-8911-a6aec7bafe58,4578399d-855f-455e-94d8-a8a6d39a59cc,2025-12-11T15:30:27.899+00:00,45767,2025-12-11T15:30:28.419338+00:00,"{'e_id': 'eID2_10', 'e_description_butt': 'Hands up'}"
16ef52e7-8ae6-474c-8911-a6aec7bafe58,4578399d-855f-455e-94d8-a8a6d39a59cc,2025-12-11T15:30:30.262+00:00,48130,2025-12-11T15:30:30.787996+00:00,"{'e_id': 'eID2_10', 'e_description_butt': 'Hands up'}"
16ef52e7-8ae6-474c-8911-a6aec7bafe58,65195929-1a63-4135-ad5e-6f87a9751864,2025-12-11T15:30:31.081+00:00,48949,2025-12-11T15:30:31.609928+00:00,"{'e_id': 'eID2_12', 'e_description_butt': 'Error response'}"
16ef52e7-8ae6-474c-8911-a6aec7bafe58,65195929-1a63-4135-ad5e-6f87a9751864,2025-12-11T15:30:33.774+00:00,51642,2025-12-11T15:30:34.295948+00:00,"{'e_id': 'eID2_12', 'e_description_butt': 'Error response'}"
16ef52e7-8ae6-474c-8911-a6aec7bafe58,4578399d-855f-455e-94d8-a8a6d39a59cc,2025-12-11T15:30:36.831+00:00,54699,2025-12-11T15:30:37.369299+00:00,"{'e_id': 'eID2_10', 'e_description_butt': 'Hands up'}"
16ef52e7-8ae6-474c-8911-a6aec7bafe58,d4cdc81e-399f-4cd4-8bcc-930995e02ecc,2025-12-11T15:30:37.797+00:00,55665,2025-12-11T15:30:38.313744+00:00,"{'e_id': 'eID2_11', 'e_description_butt': 'Hands down'}"
