time_s,synt_sig_20
0.0,606.7741727725737
0.033,480.5904500905207
0.067,251.5691127352101
0.1,-73.74028731334275
0.133,457.81293569749005
0.167,415.8811385306888
0.2,175.41890925675182
0.233,375.04554586041365
0.267,449.73982933939266
0.3,734.8055009991076
0.333,621.9108368754677
0.367,477.8153639693517
0.4,659.0511758136174
0.433,569.4329177969631
0.467,523.9621408015096
0.5,733.9015069218563
0.533,333.21751948409144
0.567,229.99241527374795
0.6,279.2903618233154
0.633,277.83186263501307
0.667,554.0146384652918
0.7,146.15982955152595
0.733,303.79555304793246
0.767,278.43542265010984
0.8,695.9030807431737
0.833,687.0398003161084
0.867,584.047508447905
0.9,772.2882226192395
0.933,363.1414008765902
0.967,854.7313508128741
1.0,438.83127094662984
1.033,705.2330605834106
1.067,721.6801192013208
1.1,652.3107087900378
1.133,821.6608409988692
1.167,857.9101020031032
1.2,687.806477174294
1.233,516.7627216584908
1.267,562.4169841195346
1.3,499.53784208823896
1.333,536.6063520367804
1.367,708.8376105948505
1.4,686.8554635818899
1.433,627.7342292623721
1.467,431.2048667162129
1.5,549.0723863335907
1.533,141.20818287139383
1.567,129.82852927538983
1.6,432.4576921322575
1.633,597.4136023849308
1.667,467.8957048448432
1.7,513.7978800844928
1.733,612.9189236591902
1.767,694.3774928657408
1.8,509.7136337353542
1.833,279.0208520460054
1.867,503.74665969171286
1.9,916.006905819896
1.933,426.5220124024992
1.967,417.1122253764058
2.0,433.84025936617854
2.033,1001.7309850088656
2.067,456.8210040311553
2.1,409.16265299884725
2.133,441.8893071730734
2.167,227.54927422334924
2.2,38.510920296694394
2.233,345.5966569269421
2.267,526.6353448171636
2.3,335.5175003165815
2.333,709.3423443585154
2.367,108.94786597642883
2.4,36.200988444829136
2.433,94.95929775616449
2.467,237.7662256853152
2.5,174.53326234398838
2.533,234.91605542676896
2.567,457.0305640792226
2.6,758.4493043357706
2.633,732.6015600393173
2.667,592.4949965868475
2.7,559.9135947877949
2.733,798.8604153325515
2.767,1021.3507348426612
2.8,835.9962168622967
2.833,572.5536204846658
2.867,673.7471427040393
2.9,743.8890914821939
2.933,450.1663614166058
2.967,636.9209151866601
3.0,642.8329395664363
3.033,830.0097519885328
3.067,434.10068196783965
3.1,99.30557726422893
3.133,263.1107546806638
3.167,374.26039769120734
3.2,-39.86134264085945
3.233,58.60426410697676
3.267,563.206675065938
3.3,586.4733090470589
3.333,489.95863589162366
3.367,261.546691917775
3.4,702.4841455258862
3.433,491.6170595045922
3.467,450.99260172111934
3.5,548.9890775754807
3.533,572.9491023747596
3.567,851.3846586065433
3.6,762.5430657652707
3.633,690.1825827052644
3.667,612.4932627748851
3.7,686.6755199199879
3.733,540.4148980005125
3.767,541.7085537005029
3.8,448.4519067028783
3.833,377.7431327540511
