2011-06-15,01:03:39.14962,Bedroom,ON,Sleep="begin"
2011-06-15,01:03:40.284526,Bedroom,OFF
2011-06-15,01:40:02.937855,Bedroom,ON
2011-06-15,01:40:05.20224,Bedroom,OFF
2011-06-15,01:40:48.900973,Bedroom,ON
2011-06-15,01:40:50.015327,Bedroom,OFF,Sleep="end"
2011-06-15,01:41:27.905913,Bedroom,ON,Wake_Up="begin"
2011-06-15,01:41:29.789869,Bedroom,OFF
2011-06-15,01:41:30.712847,Bedroom,ON
2011-06-15,01:41:31.842606,Bedroom,OFF,Wake_Up="end"
2011-06-15,01:41:40.205759,Bathroom,ON,Bed_Toilet_Transition="begin"
2011-06-15,01:41:41.296767,Bathroom,OFF
2011-06-15,01:41:43.385244,Bathroom,ON
2011-06-15,01:41:44.454793,Bathroom,OFF
2011-06-15,01:41:47.303222,Bathroom,ON
2011-06-15,01:41:48.980746,Bathroom,OFF
2011-06-15,01:42:37.717827,Bathroom,ON
2011-06-15,01:42:39.439143,Bathroom,OFF
2011-06-15,01:42:40.162898,Bathroom,ON
2011-06-15,01:42:44.292778,Bathroom,OFF
2011-06-15,01:43:42.605192,Bathroom,ON
2011-06-15,01:43:44.459078,Bathroom,OFF
2011-06-15,01:43:46.723118,Bathroom,ON
2011-06-15,01:43:47.843669,Bathroom,OFF
2011-06-15,01:43:49.343553,Bathroom,ON
2011-06-15,01:43:52.90704,Bathroom,OFF
2011-06-15,01:44:03.782564,Bathroom,ON
2011-06-15,01:44:06.029661,Bathroom,OFF
2011-06-15,01:44:06.791466,Bathroom,ON
2011-06-15,01:44:07.902511,Bathroom,OFF
2011-06-15,01:44:08.652989,Bathroom,ON
2011-06-15,01:44:09.774431,Bathroom,OFF
2011-06-15,01:44:11.47263,Bathroom,ON
2011-06-15,01:44:12.584384,Bathroom,OFF
2011-06-15,01:44:15.213392,Bathroom,ON
2011-06-15,01:44:16.349812,Bathroom,OFF
2011-06-15,01:44:17.850029,Bathroom,ON
2011-06-15,01:44:18.963551,Bathroom,OFF
2011-06-15,01:44:19.722914,Bathroom,ON
2011-06-15,01:44:22.316113,Bathroom,OFF
2011-06-15,01:44:23.65291,Bathroom,ON
2011-06-15,01:44:27.203339,Bathroom,OFF,Bed_Toilet_Transition="end"
2011-06-15,01:44:36.224155,Bedroom,ON,Go_To_Sleep="begin"
2011-06-15,01:44:38.015753,Bedroom,OFF
2011-06-15,01:44:38.95416,Bedroom,ON
2011-06-15,01:44:40.07416,Bedroom,OFF,Go_To_Sleep="end"
2011-06-15,01:45:10.108794,Bedroom,ON,Sleep="begin"
2011-06-15,01:45:11.169408,Bedroom,OFF
2011-06-15,01:45:17.356913,Bedroom,ON
2011-06-15,01:45:18.479074,Bedroom,OFF
2011-06-15,01:45:25.607358,Bedroom,ON
2011-06-15,01:45:26.726988,Bedroom,OFF
2011-06-15,01:45:33.286392,Bedroom,ON
2011-06-15,01:45:35.522719,Bedroom,OFF
2011-06-15,01:45:36.097584,Bedroom,ON
2011-06-15,01:45:38.184057,Bedroom,OFF
2011-06-15,01:45:42.636809,Bedroom,ON
2011-06-15,01:45:44.506393,Bedroom,OFF
2011-06-15,01:45:45.073188,Bedroom,ON
2011-06-15,01:45:46.978093,Bedroom,OFF
2011-06-15,01:45:48.276894,Bedroom,ON
2011-06-15,01:45:49.413457,Bedroom,OFF
2011-06-15,01:46:14.526305,Bedroom,ON
2011-06-15,01:46:15.660471,Bedroom,OFF
2011-06-15,01:46:21.0985,Bedroom,ON
2011-06-15,01:46:22.226761,Bedroom,OFF
2011-06-15,01:46:22.963326,Bedroom,ON
2011-06-15,01:46:24.09352,Bedroom,OFF
2011-06-15,01:46:49.026625,Bedroom,ON
2011-06-15,01:46:50.157807,Bedroom,OFF
2011-06-15,01:47:36.836845,Bedroom,ON
2011-06-15,01:47:37.976583,Bedroom,OFF
2011-06-15,01:48:07.593972,Bedroom,ON
2011-06-15,01:48:08.708207,Bedroom,OFF
2011-06-15,03:20:34.054791,Bedroom,ON
2011-06-15,03:20:35.15929,Bedroom,OFF
2011-06-15,03:22:24.27755,Bedroom,ON
2011-06-15,03:22:26.342488,Bedroom,OFF
2011-06-15,03:23:02.885832,Bedroom,ON
2011-06-15,03:23:04.026647,Bedroom,OFF
2011-06-15,03:24:33.835813,Bedroom,ON
2011-06-15,03:24:34.940408,Bedroom,OFF
2011-06-15,03:24:36.613019,Bedroom,ON
2011-06-15,03:24:37.766565,Bedroom,OFF
2011-06-15,03:24:39.453079,Bedroom,ON
2011-06-15,03:24:41.142347,Bedroom,OFF
2011-06-15,03:31:21.282127,Bedroom,ON
2011-06-15,03:31:22.331118,Bedroom,OFF
2011-06-15,03:40:10.122406,Bedroom,ON
2011-06-15,03:40:11.237043,Bedroom,OFF
2011-06-15,03:48:16.105703,Bedroom,ON
2011-06-15,03:48:17.176064,Bedroom,OFF
2011-06-15,03:54:51.277227,Bedroom,ON
2011-06-15,03:54:52.408729,Bedroom,OFF
2011-06-15,04:03:33.102052,Bedroom,ON
2011-06-15,04:03:34.176046,Bedroom,OFF
2011-06-15,04:11:19.140149,Bedroom,ON
2011-06-15,04:11:20.238933,Bedroom,OFF
2011-06-15,04:13:24.170165,Bedroom,ON
2011-06-15,04:13:25.291072,Bedroom,OFF
2011-06-15,04:48:45.497951,Bedroom,ON
2011-06-15,04:48:47.772571,Bedroom,OFF
2011-06-15,04:49:14.954238,Bedroom,ON
2011-06-15,04:49:16.082282,Bedroom,OFF,Sleep="end"
2011-06-15,04:50:02.299001,Bedroom,ON,Wake_Up="begin"
2011-06-15,04:50:05.844775,Bedroom,OFF,Wake_Up="end"
2011-06-15,04:50:11.139177,Bathroom,ON,Bed_Toilet_Transition="begin"
2011-06-15,04:50:12.282614,Bathroom,OFF
2011-06-15,04:50:18.4479,Bathroom,ON
2011-06-15,04:50:20.152259,Bathroom,OFF
2011-06-15,04:51:24.277635,Bathroom,ON
2011-06-15,04:51:25.405277,Bathroom,OFF
2011-06-15,04:52:22.778314,Bathroom,ON
2011-06-15,04:52:27.647039,Bathroom,OFF
2011-06-15,04:52:54.457304,Bathroom,ON
2011-06-15,04:52:59.318271,Bathroom,OFF
2011-06-15,04:53:01.384673,Bathroom,ON
2011-06-15,04:53:02.51772,Bathroom,OFF
2011-06-15,04:53:04.391379,Bathroom,ON
2011-06-15,04:53:07.769637,Bathroom,OFF
2011-06-15,04:53:08.509188,Bathroom,ON
2011-06-15,04:53:09.636423,Bathroom,OFF
2011-06-15,04:53:14.128211,Bathroom,ON
2011-06-15,04:53:15.270514,Bathroom,OFF
2011-06-15,04:53:16.387556,Bathroom,ON
2011-06-15,04:53:18.458086,Bathroom,OFF
2011-06-15,04:53:19.023533,Bathroom,ON
2011-06-15,04:53:22.39035,Bathroom,OFF
2011-06-15,04:53:23.136623,Bathroom,ON
2011-06-15,04:53:25.198431,Bathroom,OFF
2011-06-15,04:53:27.641238,Bathroom,ON
2011-06-15,04:53:31.381958,Bathroom,OFF
2011-06-15,04:53:32.706646,Bathroom,ON
2011-06-15,04:53:36.091185,Bathroom,OFF,Bed_Toilet_Transition="end"
2011-06-15,04:53:46.903405,Bedroom,ON,Go_To_Sleep="begin"
2011-06-15,04:53:48.027931,Bedroom,OFF,Go_To_Sleep="end"
2011-06-15,04:54:33.537201,Bedroom,ON,Sleep="begin"
2011-06-15,04:54:34.613182,Bedroom,OFF
2011-06-15,04:54:43.971844,Bedroom,ON
2011-06-15,04:54:45.106088,Bedroom,OFF
2011-06-15,04:54:45.857407,Bedroom,ON
2011-06-15,04:54:48.494862,Bedroom,OFF
2011-06-15,04:55:22.420592,Bedroom,ON
2011-06-15,04:55:23.551399,Bedroom,OFF
2011-06-15,04:55:24.107602,Bedroom,ON
2011-06-15,04:55:26.543014,Bedroom,OFF
2011-06-15,04:55:36.669364,Bedroom,ON
2011-06-15,04:55:38.357851,Bedroom,OFF
2011-06-15,04:56:19.413554,Bedroom,ON
2011-06-15,04:56:21.096111,Bedroom,OFF
2011-06-15,08:06:29.555854,Bedroom,ON
2011-06-15,08:06:30.643416,Bedroom,OFF
2011-06-15,08:06:33.496231,Bedroom,ON
2011-06-15,08:06:34.602503,Bedroom,OFF
2011-06-15,08:06:35.188813,Bedroom,ON
2011-06-15,08:06:37.41858,Bedroom,OFF
2011-06-15,08:06:52.031817,Bedroom,ON
2011-06-15,08:06:53.167071,Bedroom,OFF,Sleep="end"
2011-06-15,08:07:52.968548,Bedroom,ON,Wake_Up="begin"
2011-06-15,08:07:55.203971,Bedroom,OFF,Wake_Up="end"
2011-06-15,08:07:59.51112,Bathroom,ON,Personal_Hygiene="begin"
2011-06-15,08:08:01.594182,Bathroom,OFF
2011-06-15,08:08:02.136439,Bathroom,ON
2011-06-15,08:08:03.256338,Bathroom,OFF
2011-06-15,08:08:03.815276,Bathroom,ON
2011-06-15,08:08:05.691145,Bathroom,OFF
2011-06-15,08:08:08.51062,Bathroom,ON
2011-06-15,08:08:09.631875,Bathroom,OFF
2011-06-15,08:13:14.86209,Bathroom,ON
2011-06-15,08:13:16.006773,Bathroom,OFF
2011-06-15,08:13:16.752833,Bathroom,ON
2011-06-15,08:13:20.727103,Bathroom,OFF
2011-06-15,08:13:24.447646,Bathroom,ON
2011-06-15,08:13:28.00316,Bathroom,OFF
2011-06-15,08:13:29.505471,Bathroom,ON
2011-06-15,08:13:30.634123,Bathroom,OFF
2011-06-15,08:13:32.494722,Bathroom,ON
2011-06-15,08:13:34.386628,Bathroom,OFF
2011-06-15,08:13:35.322719,Bathroom,ON
2011-06-15,08:13:38.123045,Bathroom,OFF,Personal_Hygiene="end"
2011-06-15,08:13:39.626099,Bedroom,ON
2011-06-15,08:13:50.504771,Bedroom,OFF
2011-06-15,08:13:50.861126,LoungeChair,ON
2011-06-15,08:13:51.087674,Bedroom,ON
